,molecule_smi,smiles_token,smiles_attention,smarts_tox,tox_location,atom_tox_att,non_tox_location,atom_non_tox_att,att_bond
0,OC(=O)/C=C\C(O)=O.C[C@]12CC=C3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2C(=O)CN1CCN(c2nc(N3CCCC3)nc(N3CCCC3)c2)CC1,"['O', 'C', '(', '=', 'O', ')', '/', 'C', '=', 'C', '\\', 'C', '(', 'O', ')', '=', 'O', '.', 'C', '[C@]', '1', '2', 'C', 'C', '=', 'C', '3', '[C@@H]', '(', 'C', 'C', 'C', '4', '=', 'C', 'C', '(', '=', 'O', ')', 'C', '=', 'C', '[C@]', '3', '4', 'C', ')', '[C@@H]', '1', 'C', 'C', '[C@@H]', '2', 'C', '(', '=', 'O', ')', 'C', 'N', '1', 'C', 'C', 'N', '(', 'c', '2', 'n', 'c', '(', 'N', '3', 'C', 'C', 'C', 'C', '3', ')', 'n', 'c', '(', 'N', '3', 'C', 'C', 'C', 'C', '3', ')', 'c', '2', ')', 'C', 'C', '1']","[0.002999250078573823, 0.0049645253457129, 0.00541142001748085, 0.005033727269619703, 0.006010441109538078, 0.005202155094593763, 0.0042011612094938755, 0.0165723729878664, 0.005653860047459602, 0.004320664796978235, 0.004497354384511709, 0.00493290601298213, 0.005776712670922279, 0.008220535703003407, 0.0046702357940375805, 0.007614279631525278, 0.005755687598139048, 0.010653026401996613, 0.0037807875778526068, 0.01828579418361187, 0.013465814292430878, 0.017469165846705437, 0.005601434502750635, 0.011875227093696594, 0.007034519221633673, 0.007667562458664179, 0.0061553227715194225, 0.00529783358797431, 0.003185696667060256, 0.004137114156037569, 0.01611570455133915, 0.006242392584681511, 0.005992021411657333, 0.009465287439525127, 0.005762383341789246, 0.014284568838775158, 0.010438297875225544, 0.004546151962131262, 0.00671066390350461, 0.011291678994894028, 0.006950035225600004, 0.0064406618475914, 0.00458919582888484, 0.01329388190060854, 0.01262100413441658, 0.006333588156849146, 0.0026151847559958696, 0.004825502168387175, 0.005515764933079481, 0.0037226134445518255, 0.008578799664974213, 0.006350362207740545, 0.011556806974112988, 0.019008422270417213, 0.006197929847985506, 0.008586707524955273, 0.005365151911973953, 0.0067854574881494045, 0.004905573092401028, 0.0034737742971628904, 0.013425835408270359, 0.008097364567220211, 0.003961147274821997, 0.01485274638980627, 0.00657831272110343, 0.019160071387887, 0.005854329559952021, 0.015466059558093548, 0.024456560611724854, 0.006240583956241608, 0.00816032662987709, 0.006918225437402725, 0.010514605790376663, 0.007093606051057577, 0.0047591193579137325, 0.006738020572811365, 0.007059939671307802, 0.005825638305395842, 0.004334703553467989, 0.008511263877153397, 0.004650584887713194, 0.0076442197896540165, 0.006229385267943144, 0.011872104369103909, 0.007093606051057577, 0.00612976448610425, 0.006887757685035467, 0.006293839309364557, 0.008528171107172966, 0.007772084791213274, 0.0036995557602494955, 0.017260881140828133, 0.008022886700928211, 0.0021937850397080183, 0.006238292902708054, 0.005038279574364424]","['[#6]=[#6][C&X3](=[O&X1])-,:[!#1&!$([O&H1])]', '[C&X3]=[C&X3][C&X3](=[O&X1])[O&X2&H1]']","(0, 1, 2, 3, 4, 5, 6, 7, 16, 17, 18, 19, 20, 21)","[0.002999250078573823, 0.0049645253457129, 0.006010441109538078, 0.0165723729878664, 0.004320664796978235, 0.00493290601298213, 0.008220535703003407, 0.005755687598139048, 0.006242392584681511, 0.005762383341789246, 0.014284568838775158, 0.00671066390350461, 0.006950035225600004, 0.00458919582888484]","(8, 9, 10, 11, 12, 13, 14, 15, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52)","[0.0037807875778526068, 0.01828579418361187, 0.005601434502750635, 0.011875227093696594, 0.007667562458664179, 0.00529783358797431, 0.004137114156037569, 0.01611570455133915, 0.01329388190060854, 0.0026151847559958696, 0.005515764933079481, 0.008578799664974213, 0.006350362207740545, 0.011556806974112988, 0.006197929847985506, 0.0067854574881494045, 0.0034737742971628904, 0.013425835408270359, 0.003961147274821997, 0.01485274638980627, 0.00657831272110343, 0.005854329559952021, 0.024456560611724854, 0.006240583956241608, 0.006918225437402725, 0.007093606051057577, 0.0047591193579137325, 0.006738020572811365, 0.007059939671307802, 0.008511263877153397, 0.004650584887713194, 0.006229385267943144, 0.007093606051057577, 0.00612976448610425, 0.006887757685035467, 0.006293839309364557, 0.0036995557602494955, 0.0021937850397080183, 0.006238292902708054]","[0.006010441109538078, 0.0165723729878664, 0.00493290601298213, 0.008220535703003407, 0.0037807875778526068, 0.005601434502750635, 0.007667562458664179, 0.004137114156037569, 0.01611570455133915, 0.005762383341789246, 0.006950035225600004, 0.00458919582888484, 0.005515764933079481, 0.006350362207740545, 0.006197929847985506, 0.003961147274821997, 0.01485274638980627, 0.024456560611724854, 0.006240583956241608, 0.007093606051057577, 0.006738020572811365, 0.004650584887713194, 0.006229385267943144, 0.00612976448610425, 0.006293839309364557]"
1,Cc1ccc(S(=O)(=O)N[C@@H](Cc2ccccc2)C(=O)CCl)cc1,"['C', 'c', '1', 'c', 'c', 'c', '(', 'S', '(', '=', 'O', ')', '(', '=', 'O', ')', 'N', '[C@@H]', '(', 'C', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', ')', 'C', '(', '=', 'O', ')', 'C', 'Cl', ')', 'c', 'c', '1']","[0.009845857508480549, 0.012710891664028168, 0.010589341633021832, 0.005914997309446335, 0.006190079730004072, 0.007896787486970425, 0.007363529875874519, 0.007889189757406712, 0.007835275493562222, 0.022147173061966896, 0.009128940291702747, 0.013912147842347622, 0.00911423284560442, 0.012661520391702652, 0.01101094763725996, 0.014814152382314205, 0.016761159524321556, 0.013772670179605484, 0.00821699108928442, 0.015428313054144382, 0.036837030202150345, 0.055784549564123154, 0.0186708215624094, 0.01450898963958025, 0.00766013702377677, 0.008954827673733234, 0.013636026531457901, 0.032836027443408966, 0.016210855916142464, 0.005791815463453531, 0.0357293076813221, 0.00821309071034193, 0.014267039485275745, 0.028871143236756325, 0.007836666889488697, 0.03766713663935661, 0.009701329283416271, 0.0041579133830964565, 0.0062479376792907715, 0.0070888386107981205]","[*&!$(a)&!$(C=C)&!$(C#C)][C&X4][F,Cl,Br,I]","(17, 19, 20)","[0.005791815463453531, 0.007836666889488697, 0.03766713663935661]","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 21, 22)","[0.009845857508480549, 0.012710891664028168, 0.005914997309446335, 0.006190079730004072, 0.007896787486970425, 0.007889189757406712, 0.009128940291702747, 0.01101094763725996, 0.016761159524321556, 0.013772670179605484, 0.015428313054144382, 0.036837030202150345, 0.0186708215624094, 0.01450898963958025, 0.00766013702377677, 0.008954827673733234, 0.013636026531457901, 0.014267039485275745, 0.0041579133830964565, 0.0062479376792907715]","[0.010589341633021832, 0.007363529875874519, 0.007835275493562222, 0.022147173061966896, 0.013912147842347622, 0.00911423284560442, 0.012661520391702652, 0.014814152382314205, 0.00821699108928442, 0.055784549564123154, 0.032836027443408966, 0.016210855916142464, 0.0357293076813221, 0.00821309071034193, 0.028871143236756325, 0.009701329283416271, 0.0070888386107981205]"
2,FC1(F)Oc2c(cc(/C=C3\SC(=O)NC3=O)cc2)O1,"['F', 'C', '1', '(', 'F', ')', 'O', 'c', '2', 'c', '(', 'c', 'c', '(', '/', 'C', '=', 'C', '3', '\\', 'S', 'C', '(', '=', 'O', ')', 'N', 'C', '3', '=', 'O', ')', 'c', 'c', '2', ')', 'O', '1']","[0.00846217479556799, 0.008287838660180569, 0.006192801054567099, 0.00732598640024662, 0.009340973570942879, 0.008743046782910824, 0.009045173414051533, 0.013418774120509624, 0.06150141358375549, 0.018477195873856544, 0.010025025345385075, 0.007659152615815401, 0.004976753611117601, 0.01542449276894331, 0.009284742176532745, 0.029084844514727592, 0.026180604472756386, 0.012254028581082821, 0.017347559332847595, 0.006756350863724947, 0.015174481086432934, 0.009973418898880482, 0.013111468404531479, 0.008220899850130081, 0.014781857840716839, 0.021484769880771637, 0.02793876640498638, 0.018234744668006897, 0.01576278917491436, 0.010334973223507404, 0.011019016616046429, 0.014155998826026917, 0.00815677922219038, 0.00952375028282404, 0.030134648084640503, 0.017119435593485832, 0.006304348353296518, 0.011200356297194958]","['[O&X2,S&X2][C&X3](=[O&X1,S&X1])[N&X3]', '[*&!$(a)&!$(C=C)&!$(C#C)][C&X4][F,Cl,Br,I]']","(0, 1, 2, 3, 10, 11, 12, 13, 18)","[0.00846217479556799, 0.008287838660180569, 0.009340973570942879, 0.009045173414051533, 0.015174481086432934, 0.009973418898880482, 0.014781857840716839, 0.02793876640498638, 0.006304348353296518]","(4, 5, 6, 7, 8, 9, 14, 15, 16, 17)","[0.013418774120509624, 0.018477195873856544, 0.007659152615815401, 0.004976753611117601, 0.029084844514727592, 0.012254028581082821, 0.018234744668006897, 0.011019016616046429, 0.00815677922219038, 0.00952375028282404]","[0.009340973570942879, 0.009045173414051533, 0.018477195873856544, 0.029084844514727592, 0.015174481086432934, 0.02793876640498638, 0.018234744668006897, 0.00815677922219038, 0.006304348353296518]"
3,CCc1ccc(/C=C2/SC(=S)NC2=O)cc1,"['C', 'C', 'c', '1', 'c', 'c', 'c', '(', '/', 'C', '=', 'C', '2', '/', 'S', 'C', '(', '=', 'S', ')', 'N', 'C', '2', '=', 'O', ')', 'c', 'c', '1']","[0.006696911528706551, 0.013492482714354992, 0.01517819706350565, 0.010640974156558514, 0.005452001933008432, 0.007403054740279913, 0.006010953802615404, 0.011763982474803925, 0.009754461236298084, 0.03150908648967743, 0.033318694680929184, 0.012895229272544384, 0.052271876484155655, 0.02710498683154583, 0.025007009506225586, 0.010064910165965557, 0.02399967424571514, 0.022340014576911926, 0.03257692977786064, 0.023365996778011322, 0.00835273414850235, 0.02631978690624237, 0.054274048656225204, 0.019341913983225822, 0.016009842976927757, 0.016858702525496483, 0.008694647811353207, 0.007494350429624319, 0.007298177573829889]","['[O&X2,S&X2][C&X3](=[O&X1,S&X1])[N&X3]', '[#6]=[#6][C&X3](=[O&X1])[N&X3]']","(6, 7, 8, 9, 10, 11, 12, 13)","[0.03150908648967743, 0.012895229272544384, 0.025007009506225586, 0.010064910165965557, 0.03257692977786064, 0.00835273414850235, 0.02631978690624237, 0.016009842976927757]","(0, 1, 2, 3, 4, 5, 14, 15)","[0.006696911528706551, 0.013492482714354992, 0.01517819706350565, 0.005452001933008432, 0.007403054740279913, 0.006010953802615404, 0.008694647811353207, 0.007494350429624319]","[0.005452001933008432, 0.012895229272544384, 0.025007009506225586, 0.03257692977786064, 0.02631978690624237, 0.016009842976927757]"
4,CCN1/C(=C/C(C)=O)Sc2ccc(OC)cc21,"['C', 'C', 'N', '1', '/', 'C', '(', '=', 'C', '/', 'C', '(', 'C', ')', '=', 'O', ')', 'S', 'c', '2', 'c', 'c', 'c', '(', 'O', 'C', ')', 'c', 'c', '2', '1']","[0.004915652330964804, 0.02885335125029087, 0.03717570751905441, 0.018445057794451714, 0.012072748504579067, 0.010353161953389645, 0.01679786667227745, 0.008111479692161083, 0.012116361409425735, 0.03185635432600975, 0.01218006107956171, 0.008580689318478107, 0.006060079205781221, 0.010130804032087326, 0.024915561079978943, 0.014131337404251099, 0.011179257184267044, 0.021399000659585, 0.0203553419560194, 0.05221426859498024, 0.015820803120732307, 0.012314732186496258, 0.006917260587215424, 0.010992195457220078, 0.020773421972990036, 0.010238212533295155, 0.020452886819839478, 0.0062260981649160385, 0.009073772467672825, 0.038933489471673965, 0.016786908730864525]","[#6]=[#6][C&X3](=[O&X1])-,:[!#1&!$([O&H1])]","(3, 4, 5, 7, 6)","[0.010353161953389645, 0.012116361409425735, 0.01218006107956171, 0.006060079205781221, 0.014131337404251099]","(0, 1, 2, 8, 9, 10, 11, 12, 13, 14, 15, 16)","[0.004915652330964804, 0.02885335125029087, 0.03717570751905441, 0.021399000659585, 0.0203553419560194, 0.015820803120732307, 0.012314732186496258, 0.006917260587215424, 0.020773421972990036, 0.010238212533295155, 0.0062260981649160385, 0.009073772467672825]","[0.018445057794451714, 0.012072748504579067, 0.01679786667227745, 0.008111479692161083, 0.03185635432600975, 0.008580689318478107, 0.010130804032087326, 0.024915561079978943, 0.011179257184267044, 0.05221426859498024, 0.010992195457220078, 0.020452886819839478, 0.038933489471673965, 0.016786908730864525]"
5,O/N=C1/c2ccccc2N/C1=C1/C(=O)Nc2c1cccc2,"['O', '/', 'N', '=', 'C', '1', '/', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', 'N', '/', 'C', '1', '=', 'C', '1', '/', 'C', '(', '=', 'O', ')', 'N', 'c', '2', 'c', '1', 'c', 'c', 'c', 'c', '2']","[0.007307718973606825, 0.018466265872120857, 0.021450495347380638, 0.018053583800792694, 0.008866080082952976, 0.012405441142618656, 0.020407991483807564, 0.012414570897817612, 0.033877644687891006, 0.016994236037135124, 0.01742067001760006, 0.007871240377426147, 0.006910886149853468, 0.013868340291082859, 0.026272185146808624, 0.027537202462553978, 0.03562222793698311, 0.014744318090379238, 0.012232031673192978, 0.010995157063007355, 0.0073240287601947784, 0.009055421687662601, 0.008603611029684544, 0.00909238588064909, 0.007416732609272003, 0.012131605297327042, 0.01374350767582655, 0.015254697762429714, 0.017024610191583633, 0.017054986208677292, 0.029958350583910942, 0.015828339383006096, 0.010800701566040516, 0.012504949234426022, 0.006206942722201347, 0.00722091319039464, 0.011379589326679707, 0.02355666272342205]",[#6]=[#6][C&X3](=[O&X1])[N&X3],"(10, 11, 12, 13, 14)","[0.014744318090379238, 0.0073240287601947784, 0.00909238588064909, 0.01374350767582655, 0.017024610191583633]","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 15, 16, 17, 18, 19, 20)","[0.007307718973606825, 0.021450495347380638, 0.008866080082952976, 0.012414570897817612, 0.016994236037135124, 0.01742067001760006, 0.007871240377426147, 0.006910886149853468, 0.013868340291082859, 0.027537202462553978, 0.017054986208677292, 0.015828339383006096, 0.012504949234426022, 0.006206942722201347, 0.00722091319039464, 0.011379589326679707]","[0.018466265872120857, 0.018053583800792694, 0.012405441142618656, 0.020407991483807564, 0.033877644687891006, 0.026272185146808624, 0.03562222793698311, 0.012232031673192978, 0.010995157063007355, 0.009055421687662601, 0.008603611029684544, 0.007416732609272003, 0.012131605297327042, 0.015254697762429714, 0.029958350583910942, 0.010800701566040516, 0.02355666272342205]"
6,Cn1cc(C2=C(c3c(Cl)cc(Cl)cc3)C(=O)NC2=O)c2ccccc12,"['C', 'n', '1', 'c', 'c', '(', 'C', '2', '=', 'C', '(', 'c', '3', 'c', '(', 'Cl', ')', 'c', 'c', '(', 'Cl', ')', 'c', 'c', '3', ')', 'C', '(', '=', 'O', ')', 'N', 'C', '2', '=', 'O', ')', 'c', '2', 'c', 'c', 'c', 'c', 'c', '1', '2']","[0.00646990118548274, 0.024248478934168816, 0.008096585050225258, 0.0052145435474812984, 0.004581367131322622, 0.009226161986589432, 0.014975321479141712, 0.03828922286629677, 0.02874835394322872, 0.010287917219102383, 0.013697504997253418, 0.005615821573883295, 0.01306883990764618, 0.006280879024416208, 0.007892043329775333, 0.014393708668649197, 0.008221331052482128, 0.0071208965964615345, 0.007711401209235191, 0.01862543635070324, 0.010638696141541004, 0.010651416145265102, 0.009767275303602219, 0.008145490661263466, 0.007420792710036039, 0.011513233184814453, 0.004947272595018148, 0.01351519301533699, 0.009765629656612873, 0.01254198420792818, 0.017862865701317787, 0.017949584871530533, 0.021915579214692116, 0.03231970593333244, 0.013764393515884876, 0.013967293314635754, 0.012294034473598003, 0.007894226349890232, 0.028763532638549805, 0.01402342040091753, 0.008912448771297932, 0.007540472317487001, 0.006131874863058329, 0.007791962940245867, 0.014704802073538303, 0.028457440435886383]",[#6]=[#6][C&X3](=[O&X1])[N&X3],"(4, 5, 14, 15, 16, 17, 18)","[0.014975321479141712, 0.010287917219102383, 0.004947272595018148, 0.01254198420792818, 0.017949584871530533, 0.021915579214692116, 0.013967293314635754]","(0, 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 19, 20, 21, 22, 23, 24)","[0.00646990118548274, 0.024248478934168816, 0.0052145435474812984, 0.004581367131322622, 0.005615821573883295, 0.006280879024416208, 0.014393708668649197, 0.0071208965964615345, 0.007711401209235191, 0.010638696141541004, 0.009767275303602219, 0.008145490661263466, 0.007894226349890232, 0.01402342040091753, 0.008912448771297932, 0.007540472317487001, 0.006131874863058329, 0.007791962940245867]","[0.008096585050225258, 0.009226161986589432, 0.03828922286629677, 0.02874835394322872, 0.013697504997253418, 0.01306883990764618, 0.007892043329775333, 0.008221331052482128, 0.01862543635070324, 0.010651416145265102, 0.007420792710036039, 0.011513233184814453, 0.01351519301533699, 0.009765629656612873, 0.017862865701317787, 0.03231970593333244, 0.013764393515884876, 0.012294034473598003, 0.028763532638549805, 0.014704802073538303, 0.028457440435886383]"
7,[Cl-].CCCCCCCCCCCCCCCC(=O)OC(CC(O)=O)C[N+](C)(C)C,"['[Cl-]', '.', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', '(', '=', 'O', ')', 'O', 'C', '(', 'C', 'C', '(', 'O', ')', '=', 'O', ')', 'C', '[N+]', '(', 'C', ')', '(', 'C', ')', 'C']","[0.005364888813346624, 0.018526986241340637, 0.006667064968496561, 0.011091344989836216, 0.007902217097580433, 0.009356947615742683, 0.010690097697079182, 0.010383871383965015, 0.010383871383965015, 0.010383871383965015, 0.010383871383965015, 0.010383871383965015, 0.010383871383965015, 0.012606180272996426, 0.008055281825363636, 0.011024686507880688, 0.010706990957260132, 0.009346886537969112, 0.011401870287954807, 0.010485436767339706, 0.010546858422458172, 0.012633067555725574, 0.007299244403839111, 0.009928609244525433, 0.00882753822952509, 0.007093424443155527, 0.008534640073776245, 0.0131911039352417, 0.028111042454838753, 0.009308029897511005, 0.024488983675837517, 0.01280641183257103, 0.01481649000197649, 0.007431598845869303, 0.01847253181040287, 0.011826721020042896, 0.01201882865279913, 0.013642794452607632, 0.0118997348472476, 0.008220663294196129, 0.01156796608120203, 0.006638694554567337]","[N&X4&+](-,:[C&X4])(-,:[C&X4])(-,:[C&X4])-,:[C&X4]","(25, 24, 26, 27, 28)","[0.007431598845869303, 0.01847253181040287, 0.01201882865279913, 0.008220663294196129, 0.006638694554567337]","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","[0.005364888813346624, 0.006667064968496561, 0.011091344989836216, 0.007902217097580433, 0.009356947615742683, 0.010690097697079182, 0.010383871383965015, 0.010383871383965015, 0.010383871383965015, 0.010383871383965015, 0.010383871383965015, 0.010383871383965015, 0.012606180272996426, 0.008055281825363636, 0.011024686507880688, 0.010706990957260132, 0.009346886537969112, 0.010546858422458172, 0.007299244403839111, 0.009928609244525433, 0.007093424443155527, 0.008534640073776245, 0.028111042454838753, 0.01280641183257103]","[0.018526986241340637, 0.011401870287954807, 0.010485436767339706, 0.012633067555725574, 0.00882753822952509, 0.0131911039352417, 0.009308029897511005, 0.024488983675837517, 0.01481649000197649, 0.011826721020042896, 0.013642794452607632, 0.0118997348472476, 0.01156796608120203]"
8,Cl.O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,"['Cl', '.', 'O', '=', 'c', '1', 'c', 'c', '(', 'N', '2', 'C', 'C', 'O', 'C', 'C', '2', ')', 'o', 'c', '2', 'c', '(', '-', 'c', '3', 'c', 'c', 'c', 'c', 'c', '3', ')', 'c', 'c', 'c', 'c', '1', '2']","[0.008349080570042133, 0.01728953793644905, 0.008031447418034077, 0.017982063814997673, 0.012424767948687077, 0.007802818436175585, 0.005850084591656923, 0.005129081662744284, 0.015481825917959213, 0.02128387801349163, 0.039986751973629, 0.024713076651096344, 0.014280352741479874, 0.017553500831127167, 0.015486485324800014, 0.01607607863843441, 0.033887580037117004, 0.0219969991594553, 0.02150733955204487, 0.008831595070660114, 0.02947993017733097, 0.01713341847062111, 0.012038073502480984, 0.015698648989200592, 0.006505397614091635, 0.023068532347679138, 0.010091005824506283, 0.008965031243860722, 0.0064406986348330975, 0.007887802086770535, 0.013678858987987041, 0.010207160376012325, 0.010853352956473827, 0.007681738585233688, 0.005327742546796799, 0.006083608139306307, 0.007534270640462637, 0.015058189630508423, 0.02670050971210003]","c1c(-,:cccc1)-c1ccccc1","(12, 13, 20, 21, 22, 23, 14, 15, 16, 17, 18, 19)","[0.008831595070660114, 0.01713341847062111, 0.015698648989200592, 0.006505397614091635, 0.010091005824506283, 0.008965031243860722, 0.0064406986348330975, 0.007887802086770535, 0.013678858987987041, 0.007681738585233688, 0.005327742546796799, 0.006083608139306307]","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","[0.008349080570042133, 0.008031447418034077, 0.012424767948687077, 0.005850084591656923, 0.005129081662744284, 0.02128387801349163, 0.024713076651096344, 0.014280352741479874, 0.017553500831127167, 0.015486485324800014, 0.01607607863843441, 0.02150733955204487]","[0.01728953793644905, 0.017982063814997673, 0.007802818436175585, 0.015481825917959213, 0.039986751973629, 0.033887580037117004, 0.0219969991594553, 0.02947993017733097, 0.012038073502480984, 0.023068532347679138, 0.010207160376012325, 0.010853352956473827, 0.015058189630508423, 0.02670050971210003]"
9,CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(C)=O,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', '(', '=', 'O', ')', 'O', '[C@@H]', '1', '[C@@H]', '(', 'C', ')', '[C@]', '2', '(', 'O', ')', '[C@@H]', '3', 'C', '=', 'C', '(', 'C', ')', 'C', '(', '=', 'O', ')', '[C@]', '3', '(', 'O', ')', 'C', 'C', '(', 'C', 'O', ')', '=', 'C', '[C@H]', '2', '[C@@H]', '2', 'C', '(', 'C', ')', '(', 'C', ')', '[C@]', '1', '2', 'O', 'C', '(', 'C', ')', '=', 'O']","[0.0038794735446572304, 0.005212398711591959, 0.005630172789096832, 0.006615329999476671, 0.007205342408269644, 0.007535260636359453, 0.007535260636359453, 0.007535260636359453, 0.007535260636359453, 0.008998957462608814, 0.005859364289790392, 0.007978995330631733, 0.0074025955982506275, 0.005818681791424751, 0.005135970655828714, 0.006138430442661047, 0.005894961301237345, 0.007104465272277594, 0.00524285389110446, 0.011430288664996624, 0.006071808282285929, 0.009298535995185375, 0.006319059524685144, 0.004758427385240793, 0.00742209842428565, 0.013460654765367508, 0.027108976617455482, 0.016915161162614822, 0.01613597758114338, 0.007642264943569899, 0.011604062281548977, 0.003008489729836583, 0.011338751763105392, 0.00927973072975874, 0.006382855121046305, 0.008061284199357033, 0.006393484305590391, 0.00631893752142787, 0.003502864623442292, 0.008900036104023457, 0.0065869917161762714, 0.007889200001955032, 0.010581914335489273, 0.007460375782102346, 0.008094326592981815, 0.009532333351671696, 0.004531147424131632, 0.005434595048427582, 0.006685779895633459, 0.005354912485927343, 0.005601702723652124, 0.00612919544801116, 0.019442496821284294, 0.007051370572298765, 0.008006750606000423, 0.0074646733701229095, 0.025146469473838806, 0.01598023809492588, 0.012771355919539928, 0.022787602618336678, 0.008778613992035389, 0.008849197067320347, 0.006628390401601791, 0.008422506041824818, 0.006930594798177481, 0.007055979687720537, 0.006529560312628746, 0.010946662165224552, 0.016747213900089264, 0.02686528116464615, 0.010072382166981697, 0.0066976347006857395, 0.006399480160325766, 0.004341533873230219, 0.0055608185939490795, 0.0057103331200778484, 0.007136888802051544]","[#6]=[#6][C&X3](=[O&X1])-,:[!#1&!$([O&H1])]","(22, 23, 25, 26, 27)","[0.011338751763105392, 0.006382855121046305, 0.003502864623442292, 0.007889200001955032, 0.007460375782102346]","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43)","[0.0038794735446572304, 0.005212398711591959, 0.005630172789096832, 0.006615329999476671, 0.007205342408269644, 0.007535260636359453, 0.007535260636359453, 0.007535260636359453, 0.007535260636359453, 0.008998957462608814, 0.005859364289790392, 0.007978995330631733, 0.0074025955982506275, 0.005818681791424751, 0.005894961301237345, 0.00524285389110446, 0.011430288664996624, 0.009298535995185375, 0.004758427385240793, 0.013460654765367508, 0.01613597758114338, 0.011604062281548977, 0.006393484305590391, 0.004531147424131632, 0.006685779895633459, 0.005354912485927343, 0.00612919544801116, 0.019442496821284294, 0.0074646733701229095, 0.025146469473838806, 0.012771355919539928, 0.008778613992035389, 0.006628390401601791, 0.007055979687720537, 0.010946662165224552, 0.010072382166981697, 0.0066976347006857395, 0.004341533873230219, 0.007136888802051544]","[0.005135970655828714, 0.006138430442661047, 0.007104465272277594, 0.006071808282285929, 0.006319059524685144, 0.00742209842428565, 0.027108976617455482, 0.016915161162614822, 0.007642264943569899, 0.003008489729836583, 0.00927973072975874, 0.008061284199357033, 0.00631893752142787, 0.008900036104023457, 0.0065869917161762714, 0.010581914335489273, 0.008094326592981815, 0.009532333351671696, 0.005434595048427582, 0.005601702723652124, 0.007051370572298765, 0.008006750606000423, 0.01598023809492588, 0.022787602618336678, 0.008849197067320347, 0.008422506041824818, 0.006930594798177481, 0.006529560312628746, 0.016747213900089264, 0.02686528116464615, 0.006399480160325766, 0.0055608185939490795, 0.0057103331200778484]"
